2019-06-05 10:14:41,989 p=7080 u=mistral |  ansible-playbook-2 2.7.10
  config file = /var/lib/mistral/lab/ansible.cfg
  configured module search path = [u'/root/.ansible/plugins/modules', u'/usr/share/ansible/plugins/modules', u'/usr/share/openstack-tripleo-validations/library']
  ansible python module location = /usr/lib/python2.7/site-packages/ansible
  executable location = /usr/bin/ansible-playbook-2
  python version = 2.7.5 (default, Apr  9 2019, 14:30:50) [GCC 4.8.5 20150623 (Red Hat 4.8.5-36)]
2019-06-05 10:14:41,990 p=7080 u=mistral |  Using /var/lib/mistral/lab/ansible.cfg as config file
2019-06-05 10:14:41,996 p=7080 u=mistral |  /var/lib/mistral/lab/tripleo-ansible-inventory.yaml did not meet host_list requirements, check plugin documentation if this is unexpected
2019-06-05 10:14:41,996 p=7080 u=mistral |  /var/lib/mistral/lab/tripleo-ansible-inventory.yaml did not meet script requirements, check plugin documentation if this is unexpected
2019-06-05 10:14:42,166 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/Controller/deploy_steps_tasks.yaml
2019-06-05 10:14:42,170 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/ComputeHCI/deploy_steps_tasks.yaml
2019-06-05 10:14:42,203 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/Controller/host_prep_tasks.yaml
2019-06-05 10:14:42,258 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/ComputeHCI/host_prep_tasks.yaml
2019-06-05 10:14:42,301 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/external_deploy_steps_tasks.yaml
2019-06-05 10:14:42,321 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/Controller/deploy_steps_tasks.yaml
2019-06-05 10:14:42,324 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/ComputeHCI/deploy_steps_tasks.yaml
2019-06-05 10:14:42,342 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/common_deploy_steps_tasks.yaml
2019-06-05 10:14:42,382 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/external_deploy_steps_tasks.yaml
2019-06-05 10:14:42,401 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/Controller/deploy_steps_tasks.yaml
2019-06-05 10:14:42,404 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/ComputeHCI/deploy_steps_tasks.yaml
2019-06-05 10:14:42,417 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/common_deploy_steps_tasks.yaml
2019-06-05 10:14:42,457 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/external_deploy_steps_tasks.yaml
2019-06-05 10:14:42,476 p=7080 u=mistral |  statically imported: /var/lib/mistral/lab/Controller/deploy_steps_tasks.yaml
